一级知识点,二级知识点,三级知识点,四级知识点,五级知识点,六级知识点,七级知识点,前置知识点,后置知识点,关联知识点,知识点说明
,,,形式语言,,,,,,,"用途: 应用群结构理论。
；定义: 使用抽象符号表达思维规律的精确语言。
；作用: 精确表达人类思维基本规律。
"
,,,得分评判问题,,,,元素比较;偏序关系,0-1法记分;等级记分;标准分,,"定义: 在非对抗场合通过分数计算名次的问题。
；问题: 分数表示的水平差距不唯一确定。
"
,,,循环含幺半群,,,,循环半群,,,"特性: 具有单位元，且每个元素是生成元的方幂。
；关系: 是循环半群的特例。
；定义: 含幺半群中，任意元素可表示为某生成元的方幂。
"
,,,微分运算,,,,,,,"定义: 求函数导数的数学运算。
；应用: 用于分析函数的变化率和切线等问题。
"
,,,必要条件,,,,,,,"用途: 用于证伪哈密顿图。
；关系: P→Q中Q为后件
；定义: 判定哈密顿图的必要条件；Q为假则P必为假，Q是P的必要条件。
；特点: 非充分条件，度数分配需均衡。
"
,,,思维复杂度,,,,,,,"影响: 使贪心算法易于理解和实现。
；特点: 低
"
,,,悬挂结点,,,,,,,"定义: 度数为1的结点。
；应用: 用于分析图的度结构。
"
,,,悬挂边,,,,,,,"定义: 以悬挂结点为端点的边。
；应用: 用于分析图的度结构。
"
,,,成假赋值,,,,,,,"定义: 命题公式在某种解释下真值取值为假的理解。
；条件: 命题公式在该解释下真值为假。
"
,,,成真赋值,,,,,,,"定义: 命题公式在某种解释下真值取值为真的解释。
；条件: 命题公式在该解释下真值为真。
"
,,,或门,,,,,或运算,,"输入: 允许多个输入。
；功能: 实现命题逻辑的或运算。
"
,,,抽象数据类型,,,,,,,"用途: 封装数据及其运算，提供抽象处理方法。
；定义: 具有特定运算和性质的数据类型。
"
,,,排中律,,,,,,补集,"用途: 用于证明和简化命题公式。
；定义: G∨¬G⇔1 的等值关系。
"
,,,排列,,,,组合,,可重复的排列;不重复的排列,"特性: 置换函数的逆运算是上下两排元素颠倒排放并按升序排列。
；关系: 与置换存在一一对应关系；是置换函数的一种表达形式。
；数量: n元集有$n!$个排列。
；定义: 从集合中选择元素并考虑顺序的计数问题；集合元素的一种有序排列；同置换，表示有限集元素的重排；将元素按一定顺序排列的方式。
；运算: 置换函数乘积运算与复合运算本质相同，但次序相反，即$\pi\cdot	au=	au\circ\pi$。
；分类: 不重复排列、可重复排列
"
,,,排列数,,,,定理1.13,,,"定义: 不重复排列的个数。
；公式: P(n,r) = n! / (n-r)!
"
,,,排序类问题,,,,,,,"定义: 需要将一组元素按特定顺序排列的问题。
；应用: 决策树可用于解决此类问题。
"
,,,控制结构,,,,,循环结构;选择结构;顺序结构,,"定义: 决定算法操作执行顺序的框架。
；类型: 顺序、选择、循环结构
"
,,,推理演算方法,,,,,,,"用途: 用于谓词逻辑推理，处理新概念。
；来源: 命题逻辑推理演算方法的延伸。
"
,,,推理规则,,,,推演系统,推理定律,,"种类: 全称特指、存在特指、全称推广、存在推广。
；用途: 用于直接证明法中的逻辑推演。
；组成: 包括P规则、T规则和CP规则。
；定义: 在逻辑推理中公认的规则；谓词逻辑推理中使用的规则。
；作用: 是命题逻辑推理的核心机制；处理量词，方便增加或消除量词。
；特点: 包括命题逻辑推理规则及其扩展。
"
,,,推证策略,,,,,,,"定义: 谓词逻辑推理中的证明策略。
；应用: 用于谓词公式的推演和证明。
"
,,,描述法,,,,有限集合;集合表示,抽象性;隐式表示方法;内涵表示;性质P,无限集合;普适性,"用途: 用于表示元素较多或难以枚举的集合；关系的集合表示法之一。
；定义: 用性质描述集合元素的方法；用元素具备的特性表示集合的方法；用集合的描述法表示作为关系的集合。
；形式: A={x|P(x)}
；优点: 不需列出全部元素，表达能力强。
；特点: 通过描述集合元素的性质来表示集合；隐式表示，抽象普适。
"
,,,插入算法,,,,,,,"用途: 在根树模型中插入新节点。
；相关: 涉及平衡树、红黑树、B树的插入操作。
"
,,,摘香蕉问题,,,,,状态描述,,"定义: 猴子通过推箱子和站箱子摘香蕉的问题。
；状态: 描述为四元组(W, x, y, z)。
"
,,,散列函数,,,,,,,"定义: 将数据映射到固定范围值的函数。
；应用: 用于数据存储和查找。
"
,,,数列,,,,,,,"用途: 作为生成函数的基础工具，用于表示离散量。
；定义: 由一系列实数按顺序排列组成。
"
,,,数据库,,,,二维表,,,"结构: 数据以二维表形式存在，列视为集合，行视为记录。
；应用: 集合的二进制编码用于提高数据库记录操作效率；谓词逻辑用于数据库模型设计与知识表示。
"
,,,数据库系统,,,,,,,"需求: 高效的数据存储和检索。
；应用: B树广泛应用于数据库系统的动态集合操作。
"
,,,数据结构,,,,,,,"定义: 数据的存储结构和逻辑结构的统称。
；作用: 方便快速存取数据，反映数据间的逻辑关系。
；应用: 算法的操作对象，影响算法设计。
"
,,,整除,,,,带余除法;定理2.1;倍数,,因子,"定义: 整数之间的除法关系；若存在整数q，使得b=a*q，则a能整除b；整数之间较强的约束关系，要求余数为0。
；性质: a是b的因子，b是a的倍数。
；特点: 约束强，很多整数不满足。
；内容: 包括基本概念与运算性质。
"
,,,斜对称,,,,,,,"定义: 点u到v的净流与点v到u的净流相反。
；作用: 维持流的平衡。
"
,,,方幂,,,,,,,"定义: 群中元素重复运算的结果。
；性质: 满足幂的运算法则，如a^n * a^m = a^(n+m)。
；应用: 用于定义群中元素的序列和周期。
"
,,,旋转算法,,,,,,,"目的: 优化根树的结构和性能。
；应用: 用于根树模型中节点的旋转操作。
"
,,,无∃型前束范式,,,,,个体函数;全称量词;存在量词,合取范式;析取范式;前束型公式,"特性: 与原谓词公式等值，用于永假式的判定
；构造: 转化为前束型公式，消除存在量词，转化为析取或合取范式
；定义: 消去所有存在量词，保留全称量词的斯科伦标准型；仅保留全称量词的前束范式
；特点: 不含存在量词
"
,,,无向边,,,,,,,"定义: 连接两结点无方向的边，用无序偶(u,v)表示。
；特点: 无方向性
"
,,,无序偶,,,,,,,"定义: 无序的二元组，记为$(x,y)$。
"
,,,无权图,,,,,,,"定义: 边或结点无权重的图。
；特点: 边或结点无权重。
"
,,,无穷重m元重集,,,,,,,"表示: {∞·a1, ∞·a2, ..., ∞·am}
；定义: 所有元素可出现任意多次的重集。
"
,,,无限集,,,,基数,,自然数集,"特性: 元素个数无限。
；定义: 元素数量无限的集合；基数为无限数的集合；基数为无穷大的集合。
；度量: 需以自然数集或其它无限集的基数为标准。
；性质: 元素数量不可数；可能存在等势关系。
；应用: 用于描述无穷大的集合情况。
"
,,,无限集合,,,,不可数集;可数集,,子集,"特性: 可通过不断选取元素形成子集，与自然数集等势。
；定义: 元素数量无限的集合。
；特点: 元素数量无限。
；应用: 用于定义无限群。
；类型: 描述法可表示的集合类型。
"
,,,无限面,,,,,,,"定义: 由平面图边所包围且内部不包含结点与边的无限区域。
"
,,,普莱姆算法,,,,最小生成树,局部最优算法;贪心策略,克鲁斯卡尔算法,"特性: 局部最优算法，需证明正确性。
；步骤: 选点、选边、重复直至包含所有结点。
；结论: 构造的生成树是最小生成树。
；原理: 基于贪心策略，从任意结点开始，每次选择权最小的边构成新树。
"
,,,普适性,,,,,,,"特性: 描述法表达内容的普遍适用性。
；来源: 描述法的内涵表示。
；描述: 蛮力法具有高普适性，能解决多种问题。
"
,,,更改算法,,,,,,,"目的: 调整根树结构以满足特定要求。
；应用: 用于根树模型中节点的更改操作。
"
,,,最优值,,,,,,最优解,"用途: 用于确定问题的最优结果。
；步骤: 应用递推关系求解得到。
；定义: 通过动态规划算法计算得到的最优结果。
"
,,,最优子结构性质,,,,,,,"定义: 问题最优解包含子问题最优解。
；作用: 动态规划的必要条件。
"
,,,最优树,,,,霍夫曼算法,,定理9.7,"定义: 权值和最小的赋权二元树。
；条件: 权值和最小
"
,,,最优解,,,,,,,"构造: 根据最优值信息构造。
；步骤: 在动态规划的最后一步构造。
；定义: 包含最优子问题解的问题解。
；条件: 问题具有最优子结构性质。
"
,,,最优路线问题,,,,,,哈密顿图模型,"特性: NP-hard问题，常采用近似算法。
；方法: 可用哈密顿图模型和最邻近插入法求解。
；定义: 寻找总路程最短的旅行路线。
"
,,,最大元,,,,幺元,,,"特性: 在有界格中唯一；可能不存在，若存在则唯一
；定义: 对任意元素x，有x≤b的元素b；偏序集中所有元素都先于它的元素
；条件: 与集合中所有元素可比
"
,,,最大公因子,,,,,,,"定义: 两个整数的最大公约数。
；应用: 递归算法中用于求解更小整数的最大公因子。
"
,,,最大平面图,,,,,,,"特性: 边数达到最大。
；定义: 加一条边即成非平面图的平面图。
"
,,,最大度,,,,,,,"记法: Δ(G)
；定义: 图中结点度数的最大值。
；意义: 反映图中结点度的上限。
"
,,,最大流量,,,,,,最小割容量,"关系: 等于最小割容量
；定义: 网络中流的总量最大值
"
,,,最小元,,,,零元,,最大元,"特性: 在有界格中唯一；可能不存在，若存在则唯一
；定义: 对任意元素x，有a≤x的元素a；偏序集中先于所有元素的元素
；条件: 与集合中所有元素可比
"
,,,最小割容量,,,,,,,"关系: 等于最大流量
；定义: 分割网络的最小容量
"
,,,最小度,,,,,,,"记法: δ(G)
；定义: 图中结点度数的最小值。
；意义: 反映图中结点度的下限。
"
,,,最小数原理,,,,,,自然数集合,"定义: 自然数集合的所有非空子集具有最小数。
；性质: 正整数集合的所有非空子集均有最小数。
；应用: 支撑自然数集合的基本性质和运算。
"
,,,有向图,,,,连通性;关联矩阵;二元关系,对称矩阵,弱连通图;单向连通图;强连通图;有向边,"特性: 每条边有明确方向；边有方向，用序偶表示；邻接矩阵不一定对称；关联矩阵中每列元素之和为0，自环用-2或2表示；边具有方向性，结点间可达性不满足对称性。
；用途: 表示有限集合上的二元关系。
；定义: 所有边均为有向边的图；每条边都是有向边的图；边带方向的图；边有方向的图；边具有方向的图模型。
；特点: 边有方向性。
；分类: 根据边是否有方向划分；强连通图、单向连通图、弱连通图
"
,,,有向边,,,,,,,"特性: 明确起点和终点；具有始点和终点。
；定义: 具有方向性的边，有起点和终点；从结点u到结点v的有方向边，用序偶<u,v>表示；表示一个作业及其所需时间或费用。
；作用: 连接作业网络中的结点。
"
,,,有序偶,,,,,,,"特性: 元素次序重要，$\langle a,bangle 
eq \langle b,aangle$。
；定义: 有序的二元组，记为$\langle x,yangle$。
"
,,,有效公式,,,,谓词公式,,∃型前束范式;可满足公式;矛盾公式,"特性: 其否定为矛盾公式，一定是可满足公式；与其∃型前束范式等值
；定义: 在所有解释下真值均为真的谓词公式；在所有解释下均为真的公式；在所有解释下都为真的谓词公式
；作用: 判断谓词公式等值的关键；用于判断谓词公式之间的逻辑蕴含关系
"
,,,有限集,,,,置换函数;置换函数;高级计数技术;基数;计数技术,,等势;无限集,"特性: 元素个数有限；元素个数可数；具有有限元素数量的集合；元素数目确定。
；用途: 用于离散数学中的建模和分析。
；定义: 元素数量有限的集合；基数为有限数的集合；元素个数有限的集合。
；相关: 加法原理和乘法原理应用于有限集的计数。
；度量: 统计集合中元素的个数。
；性质: 特殊集合之一；等势当且仅当元素个数相同。
；特点: 不能与其任何真子集等势。
"
,,,有限集合的计数问题,,,,,,,"方法: 建立递推关系式
；步骤: 先建立递推关系式，再逐步计数
"
,,,有限面,,,,,,,"定义: 由平面图边所包围且内部不包含结点与边的有限区域。
"
,,,机器证明,,,,,,,"用途: 用于自动验证数学定理等。
；定义: 利用谓词逻辑进行自动证明的方法。
"
,,,条件运算,,,,,,,"定义: 同蕴涵运算，表示条件关系。
；符号: P→Q
"
,,,极大元,,,,,,极小元,"特性: 总是存在。
；关系: 若唯一，则为最大元。
；定义: 在偏序集中，不存在其他元素比它大。
"
